short_ma,short_ma_length,long_ma,long_ma_length,rsi_length,rsi_threshold,total_final_balance
sma,60,sma,65,3,45,159989240.15860218
sma,60,sma,65,3,40,132169081.53647593
sma,60,sma,65,3,35,124747228.27351752
sma,60,sma,65,3,30,105593967.37267624
sma,60,sma,65,3,15,86151893.94222234
sma,55,sma,70,3,35,85114939.30271496
sma,55,sma,70,3,30,84757787.6956121
sma,55,sma,70,3,25,80636629.97607747
sma,60,sma,65,3,25,79679672.9759593
sma,55,sma,70,3,40,77624058.04197367
sma,60,sma,65,3,20,75697952.20553869
sma,55,sma,65,3,40,71818409.52046245
sma,60,sma,65,3,10,69972843.18303776
sma,55,sma,70,7,20,63717655.67004747
sma,55,sma,70,7,15,63620082.754307896
sma,55,sma,70,7,10,58639317.520732485
sma,95,sma,240,7,25,57589346.92170235
sma,95,sma,240,7,30,57514441.85806869
sma,95,sma,240,7,35,57510866.09669209
sma,55,sma,70,3,20,56975047.48331201
sma,55,sma,70,14,20,56401585.20756403
sma,55,sma,70,14,15,56375609.47218683
sma,55,sma,70,14,10,56372072.798674926
sma,55,sma,65,3,45,56195980.99680429
sma,55,sma,70,7,30,53739912.71621642
sma,60,sma,65,7,25,52617840.30888501
sma,20,ema,25,14,15,52514771.74828078
sma,55,sma,70,3,15,52360167.1189768
sma,20,ema,25,14,10,50311934.83510497
sma,60,sma,65,7,45,49685465.76490873
sma,55,sma,70,7,45,49341536.510921635
sma,60,sma,65,14,25,49152267.47777193
sma,55,sma,65,3,35,49068528.556941696
sma,95,sma,240,7,20,48870151.70154766
sma,20,ema,25,14,20,48491167.20147877
sma,55,sma,70,7,25,47672240.256368816
sma,60,sma,65,14,45,47670285.92857103
sma,60,sma,65,7,35,46213237.596742414
sma,20,ema,25,14,30,46012922.336436726
sma,55,sma,65,3,30,45750893.795704514
sma,20,ema,25,14,35,44743725.95161881
sma,55,sma,70,3,10,43776788.62584019
sma,60,sma,65,14,40,43595825.012421735
sma,20,ema,30,14,20,42121724.45056007
sma,60,sma,65,14,20,41838809.73760113
sma,60,sma,65,7,15,41690953.00544294
sma,25,ema,40,3,15,41412301.83473511
sma,55,sma,65,3,25,41174404.469520725
sma,20,ema,30,14,10,41127934.735713355
sma,20,ema,30,14,15,41118272.68987935
sma,60,sma,70,3,15,40962220.04072201
sma,20,ema,25,14,25,40764747.91694013
sma,90,sma,240,14,10,40604749.4679174
sma,90,sma,240,14,15,40602438.346297584
sma,90,sma,240,14,20,40588288.63889259
sma,55,sma,70,14,35,40229718.83375182
sma,90,sma,240,3,20,40008577.177256145
sma,55,sma,70,7,40,39884683.914164126
sma,60,sma,65,14,35,39741568.54604732
sma,15,ema,25,3,35,39572033.72388381
sma,70,sma,240,14,30,39234017.085441194
sma,55,sma,70,7,35,38849281.80057711
sma,60,sma,65,7,40,38502326.75170977
sma,60,sma,65,7,20,38186577.46718859
sma,85,sma,240,3,20,38153331.74460267
sma,60,sma,65,14,30,37950328.81493323
sma,100,sma,240,14,40,37934130.529298306
sma,60,sma,65,7,30,37927999.455134876
sma,95,sma,240,7,15,37913950.54117417
sma,95,sma,240,14,20,37893252.10239832
sma,95,sma,240,7,10,37887851.63995135
sma,95,sma,240,14,25,37883934.738207825
sma,95,sma,240,14,10,37878539.37632228
sma,95,sma,240,14,15,37878106.63410207
sma,95,sma,240,3,10,37664196.52548421
sma,95,sma,240,3,15,37661476.79078967
sma,25,ema,40,3,10,37435891.19411815
sma,60,sma,65,7,10,37420188.758937754
sma,85,sma,240,3,25,37281069.51269922
sma,65,sma,240,3,40,37257753.03151855
sma,85,sma,240,3,10,36891001.67551813
sma,90,sma,240,3,35,36369354.13154652
sma,90,sma,240,3,30,36360093.51778692
